objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587739863643522635,4682,40,6,207,1611,6,259.14454022,43.14280156,20.069326,19.106983,18.914394,18.813284,18.783133,0.047412,0.013255,0.013355,0.015612,0.038133
587739863643523712,4682,40,6,207,2688,6,259.13963382,43.14248829,23.500441,24.102068,22.527868,22.821115,22.460489,0.729478,0.381083,0.158075,0.316441,0.622782
587739863643522562,4682,40,6,207,1538,3,259.13752618,43.15252579,21.345449,20.148687,19.027864,18.485199,18.070375,0.202392,0.024951,0.01444,0.013925,0.033006
587739863643522563,4682,40,6,207,1539,6,259.1383298,43.15339566,21.844879,20.803305,20.43063,20.275555,20.512014,0.183647,0.027925,0.027672,0.036105,0.15911
587739863643522564,4682,40,6,207,1540,6,259.1382917,43.15531078,22.471849,21.388964,20.964285,20.762159,20.631451,0.322881,0.043967,0.042161,0.054643,0.180544
587739863643522598,4682,40,6,207,1574,6,259.13806736,43.14729256,21.493832,20.491362,20.157675,19.975931,19.882832,0.135536,0.024435,0.024166,0.029693,0.091034
587739863643522507,4682,40,6,207,1483,6,259.13635425,43.15967001,25.125654,23.121458,22.612623,22.214279,21.948294,0.920205,0.166034,0.155867,0.176031,0.45857
587739863643522561,4682,40,6,207,1537,6,259.13638767,43.15674967,20.675962,19.749514,19.497866,19.415394,19.356606,0.071786,0.013987,0.014236,0.018408,0.058332
587739863643522573,4682,40,6,207,1549,6,259.13571497,43.15357656,24.264904,23.241194,22.253862,22.103687,21.957336,0.97902,0.183642,0.114662,0.159133,0.45821
587739863643522616,4682,40,6,207,1592,6,259.13540868,43.14316625,19.836691,18.932249,18.716026,18.658592,18.625153,0.039468,8.985439E-3,9.091252E-3,0.011266,0.032696
587739863643522617,4682,40,6,207,1593,6,259.13571924,43.1454869,22.295944,21.072536,20.665298,20.523874,20.402464,0.259697,0.032858,0.031722,0.042148,0.141485
587739863643522618,4682,40,6,207,1594,6,259.13364295,43.14455452,23.829428,22.229834,21.520075,21.304861,20.975616,0.84578,0.081905,0.063393,0.082245,0.230969
587739863643522629,4682,40,6,207,1605,6,259.13253284,43.13972392,20.94416,19.948816,19.711433,19.624586,19.62043,0.088413,0.01569,0.016258,0.021223,0.071856
587739863643523500,4682,40,6,207,2476,6,259.13564315,43.14900979,23.230753,22.007149,21.370718,21.100433,21.210329,0.547674,0.066726,0.054754,0.067453,0.269682
587739863643522497,4682,40,6,207,1473,6,259.13297786,43.16272728,20.628429,19.809893,19.564619,19.511536,19.377514,0.068709,0.014368,0.014804,0.019661,0.058739
587739863643522501,4682,40,6,207,1477,6,259.13473868,43.16122606,22.435486,21.289993,20.876356,20.632866,20.317934,0.292395,0.038253,0.037117,0.045838,0.128309
587739863643522508,4682,40,6,207,1484,6,259.13420871,43.1628891,24.328854,23.212458,22.743013,22.216921,23.040573,1.078864,0.190066,0.185595,0.187474,0.613495
587739863643522552,4682,40,6,207,1528,6,259.1332504,43.15651872,21.23064,20.262873,20.015614,19.972897,19.683168,0.108647,0.018889,0.019809,0.02724,0.07519
587739863643522553,4682,40,6,207,1529,6,259.13094222,43.15669311,20.915573,20.150124,19.900141,19.811329,19.619465,0.086404,0.017687,0.018442,0.024424,0.072215
587739863643522554,4682,40,6,207,1530,6,259.13215353,43.15610822,23.983044,23.805502,22.525717,22.075823,21.542339,0.887691,0.293955,0.147116,0.15927,0.352789
587739863643522572,4682,40,6,207,1548,6,259.13384027,43.15328908,22.046974,20.816385,20.551289,20.341112,20.080158,0.213952,0.027607,0.029292,0.036695,0.106503
587739863643522600,4682,40,6,207,1576,6,259.12998983,43.14422628,21.370007,20.420967,20.104765,19.982578,19.983089,0.125261,0.021395,0.021489,0.028253,0.099594
587739863643522601,4682,40,6,207,1577,6,259.13070785,43.14586878,22.908569,21.587912,21.116564,20.91457,20.632164,0.467942,0.049504,0.046394,0.059901,0.175436
587739863643522619,4682,40,6,207,1595,6,259.13262039,43.14391203,25.022425,23.556566,22.386076,22.696289,22.696737,0.938195,0.235659,0.127907,0.261758,0.590635
587739863643522630,4682,40,6,207,1606,6,259.13101681,43.13980209,21.941074,20.5602,20.108561,19.833317,19.716425,0.194987,0.02304,0.021247,0.024612,0.07786
587739863643522631,4682,40,6,207,1607,6,259.12950594,43.13918679,24.55707,22.828199,22.003111,21.800486,21.197979,1.008437,0.12963,0.092271,0.121651,0.265344
587739863643522632,4682,40,6,207,1608,6,259.13091135,43.13880752,24.453276,23.001852,22.231703,21.790434,21.320379,1.196522,0.171363,0.130537,0.139348,0.335739
587739863643523494,4682,40,6,207,2470,6,259.1314547,43.15067451,22.329605,22.000145,21.448666,21.281385,20.87232,0.274873,0.067874,0.059743,0.080755,0.210484
587739863643523495,4682,40,6,207,2471,6,259.12992126,43.15175872,22.581554,22.378902,21.638336,21.427526,21.231852,0.32363,0.089872,0.068181,0.089103,0.273975
587739863643523789,4682,40,6,207,2765,6,259.13144301,43.15436253,24.979891,23.572214,22.949884,21.90955,21.963058,1.054916,0.256503,0.2215,0.144721,0.494667
587739863643521620,4682,40,6,207,596,6,259.12522452,43.16051164,20.550915,19.703894,19.452351,19.323679,19.353912,0.065317,0.013511,0.013783,0.017181,0.057621
587739863643521624,4682,40,6,207,600,3,259.12705889,43.16773582,22.166914,21.658703,20.60154,20.237972,20.061441,0.396761,0.079315,0.046064,0.053685,0.17202
587739863643521626,4682,40,6,207,602,6,259.1273716,43.16570039,23.096729,22.203104,21.442122,21.232075,20.611738,0.580976,0.086907,0.065262,0.085178,0.184363
587739863643521629,4682,40,6,207,605,3,259.12782795,43.16511764,24.166592,23.699594,23.151138,21.950895,22.210436,0.960216,0.262262,0.245357,0.139806,0.520082
