#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-09T05:05:23 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ631ac0cd2df3cf	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:II/250&tab:{II/250/gcvs_cat}&key:source=II/250/gcvs_cat&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/250/gcvs_cat
#-order=I
#-out=GCVS
#-out=n_GCVS
#-out=RAJ2000
#-out=DEJ2000
#-out=VarType
#VarType=DCEP
#-out=magMax
#-out=Period
#-out=SpType
#-out=f_GCVS
#AFOEV=AFOEV
#Simbad=Simbad
#

#RESOURCE=yCat_2250
#Name: II/250
#Title: Combined General Catalogue of Variable Stars (Samus+ 2004)
#Table	II_250_gcvs_cat:
#Name: II/250/gcvs_cat
#Title: The GCVS4.2 Catalog (Vol. I-III)
#Column	GCVS	(a10)	Variable star designation (G1)	[ucd=meta.id]
#Column	n_GCVS	(A1)	[*] indicates a remark in "gcvs_rem.dat" file	[ucd=meta.note]
#Column	RAJ2000	(A10)	? Hours RA, equinox J2000.0 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	? Degrees Dec, equinox J2000.0 (2)	[ucd=pos.eq.dec;meta.main]
#Column	VarType	(a10)	Type of variability (see file "vartype.txt")	[ucd=meta.code;src.var]
#Column	magMax	(F6.3)	? Magnitude at maximum brightness	[ucd=phot.mag]
#Column	Period	(F16.10)	? Period of the variable star	[ucd=time.period]
#Column	SpType	(a17)	MK Spectral type	[ucd=src.spType]
#Column	f_GCVS	(A1)	[=N+] "N" if the star does not exist (7)	[ucd=meta.code]
GCVS|n_GCVS|RAJ2000|DEJ2000|VarType|magMax|Period|SpType|f_GCVS
 | |"h:m:s"|"d:m:s"| |mag|d| |
----------|-|----------|---------|----------|------|----------------|-----------------|-
U     Aql |*|19 29 21.4|-07 02 39|DCEP      | 6.080|    7.0239300000|F5I-II-G1        |
SZ    Aql |*|19 04 39.4|+01 18 22|DCEP      | 7.920|   17.1379390000|F7-K1            |
TT    Aql |*|19 08 13.7|+01 17 55|DCEP      | 6.460|   13.7546000000|F6-G5            |
FM    Aql |*|19 09 16.0|+10 33 09|DCEP      | 7.890|    6.1142300000|F5-F9Ia          |
KL    Aql |*|20 01 09.8|+15 48 13|DCEP      | 9.820|    6.1080150000|F6Iab-G6         |
PP    Aql |*|19 52 46.6|+12 40 09|DCEP      |11.600|   24.0100000000|                 |
V0336 Aql |*|19 01 19.7|+00 08 49|DCEP      | 9.500|    7.3035520000|F5-G2            |
V0493 Aql |*|18 57 24.3|-00 43 49|DCEP      |10.790|    2.9877510000|                 |
V0600 Aql |*|19 21 02.3|+08 30 59|DCEP      | 9.730|    7.2384500000|F6-G0            |
V0733 Aql |*|19 57 33.0|+11 02 37|DCEP      | 9.730|    6.1787480000|F9Ib             |
V0912 Aql |*|18 48 16.3|+00 49 04|DCEP      |12.500|    4.4003400000|G0               |
V0916 Aql |x|19 10 00.4|+12 32 12|DCEP      |11.600|   13.4415500000|                 |
V0979 Aql |x|19 32 07.2|+03 00 45|DCEP      |14.100|    2.3656200000|                 |
V1183 Aql |x|18 55 58.0|+12 00 14|DCEP      |14.400|    3.2882650000|                 |
V1307 Aql |x|19 49 31.1|+07 02 01|DCEP      |17.100|    1.9487000000|                 |
V1344 Aql |x|19 11 59.2|+04 21 17|DCEP      | 7.650|    7.4780300000|G1Ib             |
V1495 Aql | |18 53 17.8|-00 06 27|DCEP      |14.000|                |                 |+
eta   Aql |*|19 52 28.4|+01 00 20|DCEP      | 3.480|    7.1766410000|F6Ib-G4Ib        |
V0340 Ara |*|16 45 19.1|-51 20 33|DCEP      | 9.630|   20.8090000000|                 |
Y     Aur |*|05 28 39.2|+42 26 16|DCEP      | 9.160|    3.8594850000|F5-F9            |
RT    Aur |*|06 28 34.1|+30 29 35|DCEP      | 5.000|    3.7281150000|F4Ib-G1Ib        |
RX    Aur |*|05 01 23.2|+39 57 37|DCEP      | 7.280|   11.6235150000|F6-G2            |
SY    Aur |*|05 12 39.2|+42 49 54|DCEP      | 8.750|   10.1445200000|F5-F8            |
YZ    Aur |*|05 15 22.0|+40 04 41|DCEP      | 9.940|   18.1929000000|F5-G2            |
AN    Aur |*|04 59 41.5|+40 50 10|DCEP      |10.140|   10.2906000000|F6-F9            |
AO    Aur |*|05 47 45.1|+32 00 53|DCEP      |10.380|    6.7630060000|F5-G0            |
AS    Aur |x|06 05 24.4|+28 47 23|DCEP      |11.800|    3.1750230000|F6-F9            |
AX    Aur |x|05 46 50.8|+31 35 53|DCEP      |13.200|    3.0466400000|                 |
BK    Aur |*|05 10 40.2|+49 41 15|DCEP      | 9.120|    8.0024310000|G2               |
CY    Aur |*|04 57 40.1|+46 05 33|DCEP      |12.600|   13.8476500000|                 |
ER    Aur |*|05 13 10.0|+41 59 26|DCEP      |12.100|   15.6907300000|                 |
EV    Aur |x|04 51 24.4|+42 47 00|DCEP      |12.400|    4.8722800000|                 |
EW    Aur |*|04 51 24.8|+38 11 19|DCEP      |13.600|    2.6595600000|                 |
FF    Aur |*|04 55 18.1|+39 58 47|DCEP      |12.600|    2.1205300000|                 |
IN    Aur |x|05 15 27.2|+37 22 21|DCEP      |14.700|    4.9111000000|                 |
V0335 Aur |x|05 42 29.3|+37 38 46|DCEP      |11.700|    3.4132500000|F-G              |
V0470 Aur | |04 56 15.2|+44 46 54|DCEP      |13.800|                |                 |+
RW    Cam |*|03 54 21.8|+58 39 12|DCEP      | 8.200|   16.4143700000|F8Ib(F5-G1)+A:   |
RX    Cam |*|04 04 58.5|+58 39 35|DCEP      | 7.300|    7.9120240000|F6Ib-G2Ib        |
TV    Cam |*|04 07 32.8|+60 19 07|DCEP      |11.220|    5.2949700000|F3pIb-F7pIb      |
AB    Cam |*|03 46 08.3|+58 47 03|DCEP      |11.350|    5.7876400000|F3pIb-G0pIb      |
AC    Cam |x|03 23 47.9|+59 21 21|DCEP      |13.600|    4.1567690000|                 |
AD    Cam |*|03 29 26.0|+60 26 48|DCEP      |12.900|   11.2609910000|                 |
CK    Cam |x|05 06 31.6|+55 21 13|DCEP      | 7.190|                |                 |+
LO    Cam | |04 06 09.0|+58 48 31|DCEP      |11.670|                |                 |+
RW    CMa |x|07 13 11.7|-18 43 51|DCEP      |11.800|    5.7296850000|F5-G2            |
RY    CMa |x|07 16 37.6|-11 29 14|DCEP      | 7.710|    4.6782500000|F6-G0Ib          |
RZ    CMa |*|07 21 32.9|-16 41 14|DCEP      | 9.360|    4.2548320000|F6               |
SS    CMa |x|07 26 07.2|-25 15 26|DCEP      | 9.260|   12.3610000000|F6-G2            |
TV    CMa |x|07 09 15.4|-13 47 10|DCEP      |10.160|    4.6700100000|F5-G2            |
TW    CMa |x|07 22 02.4|-14 19 05|DCEP      | 9.280|    6.9950700000|F5-F8            |
AO    CMa |*|07 24 40.6|-26 11 19|DCEP      |12.900|    5.8163400000|                 |
DZ    CMa |x|07 16 59.3|-15 18 26|DCEP      |12.600|    1.7543400000|G0               |
U     Car |*|10 57 48.2|-59 43 56|DCEP      | 5.720|   38.7681000000|F6-G7Iab         |
V     Car |*|08 28 43.7|-60 07 21|DCEP      | 7.080|    6.6966800000|F6-G2Ib-II       |
SX    Car |x|10 46 05.8|-57 32 51|DCEP      | 8.660|    4.8600000000|F5-G2Ib-II       |
UW    Car |x|10 26 50.9|-59 40 10|DCEP      | 8.980|    5.3457730000|G0               |
UX    Car |*|10 29 11.2|-57 36 48|DCEP      | 7.810|    3.6822460000|F5-G1II          |
UY    Car |x|10 32 04.4|-61 46 58|DCEP      | 8.540|    5.5437260000|G                |
UZ    Car |x|10 36 17.8|-61 00 45|DCEP      | 9.000|    5.2046600000|G0               |
VY    Car |*|10 44 32.7|-57 33 55|DCEP      | 6.870|   18.9900000000|F6-G4Iab-Ib      |
WW    Car |x|10 51 35.8|-59 23 06|DCEP      | 9.350|    4.6768100000|F0               |
WZ    Car |*|10 55 18.7|-60 56 24|DCEP      | 8.650|   23.0132000000|F8               |
XX    Car |*|10 57 09.2|-65 08 05|DCEP      | 8.670|   15.7162400000|G0               |
XY    Car |*|11 02 16.1|-64 15 46|DCEP      | 8.820|   12.4348300000|G5               |
XZ    Car |*|11 04 13.5|-60 58 48|DCEP      | 8.050|   16.6499000000|K5               |
YZ    Car |*|10 28 16.8|-59 21 01|DCEP      | 8.240|   18.1631000000|G5               |
AQ    Car |x|10 21 23.0|-61 04 27|DCEP      | 8.550|    9.7689600000|F8-G0Ib          |
CC    Car |x|10 54 27.0|-61 20 49|DCEP      |11.710|    4.7599500000|                 |
CF    Car |*|10 59 05.1|-60 16 44|DCEP      |13.100|    5.4949000000|                 |
CN    Car |x|10 15 32.9|-58 10 28|DCEP      |10.240|    4.9326100000|                 |
CQ    Car | |10 31 20.2|-59 58 49|DCEP      |14.300|    5.3189340000|                 |
CR    Car | |10 32 54.0|-58 31 16|DCEP      |11.300|    9.7609400000|                 |
CS    Car |x|10 34 37.2|-58 01 23|DCEP      |13.000|    6.6623400000|                 |
CT    Car | |10 36 55.8|-61 34 53|DCEP      |11.700|   18.0565000000|                 |
CY    Car |x|10 57 50.7|-60 44 32|DCEP      | 9.440|    4.2659300000|G0               |
DY    Car |x|10 52 32.8|-60 31 36|DCEP      |10.910|    4.6746100000|                 |
ER    Car |*|11 09 41.1|-58 50 16|DCEP      | 6.580|    7.7185500000|F8-G1Iab-Ib      |
ET    Car | |10 11 25.0|-61 29 20|DCEP      |14.000|    2.9108370000|                 |
EW    Car | |10 20 51.0|-61 15 08|DCEP      |14.500|    4.2387300000|                 |
