          CATALOG OF PARAMETERS FOR MILKY WAY GLOBULAR CLUSTERS:
            Source: Atanasijevic, I. Selected Exercises in Galactic Astronomy, 1971. Springer-Verlag.

Key to columns:
(1) Cluster identification number
(2) Galactic longitude (degrees)
(3) Galactic latitude (degrees)
(4) Color index B-V (mag)

 ID         l     b     B-V

 NGC 104    306   -45   0.86
 NGC 288    147   -89   0.67
 NGC 362    302   -47   0.75
 NGC 1904   228   -29   0.60
 NGC 2419   181   +26   0.69
 NGC 2808   283   -11   0.93
 NGC 3201   277    +9   0.98
 NGC 4147   251   +77   0.59
 NGC 4590   299   +37   0.67
 NGC 4833   304    -8   0.96
 NGC 5024   333   +80   0.63
 NGC 5053   335   +79   0.64
 NGC 5139   309   +15   0.79
 NGC 5272    42   +78   0.69
 NGC 5286   312   +11   0.89
 NGC 5466    42   +73   0.76
 NGC 5634   342   +49   0.67
 NGC 5694   331   +30   0.72
 NGC 5824   332   +22   0.74
 NGC 5897   343   +30   0.73
 NGC 5904     4   +47   0.72
 NGC 5927   326    +5   1.34
 NGC 5946   327    +4   1.20
 NGC 5986   337   +14   0.89
 NGC 6093   353   +19   0.86
 NGC 6121   351   +16   1.04
 NGC 6139   342    +7   1.32
 NGC 6144   352   +15   0.95
 NGC 6171     3   +23   1.11
 NGC 6205    59   +41   0.67
 NGC 6218    15   +26   0.85
 NGC 6229    73   +40   0.76
 NGC 6235   359   +13   0.90
 NGC 6254    15   +23   0.91
 NGC 6266   353    +7   1.14
 NGC 6273   357    +9   1.01
 NGC 6284   358   +10   0.99
 NGC 6287     0   +11   1.28
 NGC 6293   357    +8   0.99
 NGC 6304   356    +5   1.34
 NGC 6316   357    +5   1.31
 NGC 6325     1    +8   1.70
 NGC 6333     5   +10   0.96
 NGC 6341    68   +35   0.62
 NGC 6342     5    +9   1.35
 NGC 6352   342    -7   1.03
 NGC 6355   359    +5   1.58
 NGC 6356     7   +10   1.14
 NGC 6362   326   -17   0.90
 NGC 6366    18   +16   1.60
 NGC 6388   345    -7   1.16
 NGC 6397   339   -12   0.76
 NGC 6401     3    +4   1.32
 NGC 6402    21   +14   1.28
 NGC 6426    28   +16   0.98
 NGC 6440     7    +3   2.00
 NGC 6441   353    -5   1.27
 NGC 6453   355    -4   1.18
 NGC 6517    19    +6   1.84
 NGC 6522     1    -4   1.19
 NGC 6528     0    -5   1.43
 NGC 6535    27   +10   0.97
 NGC 6539    21    +6   1.87
 NGC 6541   349   -11   0.76
 NGC 6544     6    -2   1.43
 NGC 6553     5    -3   1.62
 NGC 6569     0    -7   1.28
 NGC 6584   343   -17   0.79
 NGC 6624     2    -8   1.11
 NGC 6626     7    -6   1.09
 NGC 6637     1   -11   0.99
 NGC 6638     8    -8   1.12
 NGC 6652     1   -12   0.89
 NGC 6656     9    -8   1.00
 NGC 6681     2   -13   0.71
 NGC 6712    27    -5   1.16
 NGC 6715     5   -15   0.83
 NGC 6723     0   -18   0.74
 NGC 6752   337   -26   0.65
 NGC 6760    36    -4   1.73
 NGC 6779    62    +9   0.88
 NGC 6809     9   -24   0.69
 NGC 6838    56    -5   1.15
 NGC 6864    20   -26   0.85
 NGC 6934    52   -19   0.76
 NGC 6981    35   -33   0.73
 NGC 7006    64   -19   0.78
 NGC 7078    65   -27   0.69
 NGC 7089    54   -36   0.68
 NGC 7099    27   -47   0.59

#---  End of file  ---
